BP NUMBER,METER NUMBER,METER TYPE,METER READING,REMARKS,METER MONTH,METER MONTH(NAME),Festival
1000102571,3173651,ACTARIS,1621,,11,NOV,DIWALI
1000102600,3173851,ACTARIS,2147,,11,NOV,DIWALI
1000102601,3173251,ACTARIS,4433,,11,NOV,DIWALI
1000102602,3139551,ACTARIS,1802,,11,NOV,DIWALI
1000102632,3164831,ACTARIS,1577,,11,NOV,DIWALI
1000103670,1467341,AEM,1854,,11,NOV,DIWALI
1000107166,3113701,ACTARIS,823,,11,NOV,DIWALI
1000107167,3082371,ACTARIS,1923,,11,NOV,DIWALI
1000107168,3073681,ACTARIS,2332,,11,NOV,DIWALI
1000107169,3082401,ACTARIS,3376,,11,NOV,DIWALI
1000107211,3098221,ACTARIS,1601,,11,NOV,DIWALI
1000107237,3151781,ACTARIS,2520,DIGIT NOT CLEAR,11,NOV,DIWALI
1000107238,3139601,ACTARIS,2148,,11,NOV,DIWALI
1000107239,3085431,ACTARIS,1825,,11,NOV,DIWALI
1000107240,3086821,ACTARIS,3626,,11,NOV,DIWALI
1000107241,3084221,ACTARIS,1712,,11,NOV,DIWALI
1000107242,3103551,ACTARIS,2786,,11,NOV,DIWALI
1000107243,3090431,ACTARIS,2246,,11,NOV,DIWALI
1000111894,3-235438-1,ITRON,623,,11,NOV,DIWALI
1000111895,3101471,ACTARIS,1258,,11,NOV,DIWALI
1000111896,3101481,ACTARIS,1704,,11,NOV,DIWALI
1000111897,3101451,ACTARIS,2425,,11,NOV,DIWALI
1000111898,3103531,ACTARIS,1809,,11,NOV,DIWALI
1000111900,AL-0507129/C4593,ACTARIS,2264,,11,NOV,DIWALI
1000111904,3148031,ACTARIS,1990,,11,NOV,DIWALI
1000111909,31341471,ITRON,1804,,11,NOV,DIWALI
1000111923,3136941,ACTARIS,1157,,11,NOV,DIWALI
1000111924,3082381,ACTARIS,1039,,11,NOV,DIWALI
1000111925,31046641,ITRON,1536,,11,NOV,DIWALI
1000111926,3083701,ACTARIS,2109,,11,NOV,DIWALI
1000111950,3113721,ACTARIS,3462,,11,NOV,DIWALI
1000111951,3116131,ACTARIS,1134,,11,NOV,DIWALI
1000111952,3083321,ACTARIS,1933,,11,NOV,DIWALI
1000114716,3148341,ACTARIS,1449,,11,NOV,DIWALI
1000115093,1151791,AEM,755,,11,NOV,DIWALI
1000115443,1144671,AEM,2526,,11,NOV,DIWALI
1000115579,3084771,ACTARIS,986,,11,NOV,DIWALI
1000115580,3101461,ACTARIS,2457,,11,NOV,DIWALI
1000115889,1154351,AEM,2407,,11,NOV,DIWALI
1000115928,1140571,AEM,4732,,11,NOV,DIWALI
1000116945,3148361,ACTARIS,1016,,11,NOV,DIWALI
1000117016,1173431,AEM,1874,,11,NOV,DIWALI
1000117029,1145281,AEM,2634,,11,NOV,DIWALI
1000117031,1170011,AEM,4461,,11,NOV,DIWALI
1000117727,3082581,ACTARIS,2498,,11,NOV,DIWALI
1000119683,1350031,AEM,3000,,11,NOV,DIWALI
1000119695,1348611,AEM,3000,,11,NOV,DIWALI
1000120293,1170031,AEM,2426,,11,NOV,DIWALI
1000120968,3072641,ACTARIS,1582,,11,NOV,DIWALI
1000120986,3082501,ACTARIS,1666,,11,NOV,DIWALI
1000120987,3101351,ACTARIS,987,,11,NOV,DIWALI
1000120988,3083721,ACTARIS,1797,DIGIT NOT CLEAR,11,NOV,DIWALI
1000121234,1153461,AEM,1255,,11,NOV,DIWALI
1000123608,1159801,AEM,1190,,11,NOV,DIWALI
1000123616,1150111,AEM,1760,DIGIT NOT CLEAR,11,NOV,DIWALI
1000126967,1286191,AEM,2006,,11,NOV,DIWALI
1000126968,3087931,ACTARIS,2880,,11,NOV,DIWALI
1000126969,3087101,ACTARIS,2624,,11,NOV,DIWALI
1000126970,3069281,ACTARIS,2280,,11,NOV,DIWALI
1000126971,3087951,ACTARIS,2446,,11,NOV,DIWALI
1000126973,1386481,AEM,3152,,11,NOV,DIWALI
1000126974,3069261,ACTARIS,1669,,11,NOV,DIWALI
1000126977,3087961,ACTARIS,2183,,11,NOV,DIWALI
1000126978,3074811,ACTARIS,1168,,11,NOV,DIWALI
1000126979,3069641,ACTARIS,1197,,11,NOV,DIWALI
1000126980,3069621,ACTARIS,1251,,11,NOV,DIWALI
1000126981,3113021,ACTARIS,3831,,11,NOV,DIWALI
1000127002,3069631,ACTARIS,1302,,11,NOV,DIWALI
1000127003,3101331,ACTARIS,1796,,11,NOV,DIWALI
1000127590,1322871,AEM,1767,,11,NOV,DIWALI
1000127639,1323661,AEM,1118,,11,NOV,DIWALI
1000127656,1287631,AEM,990,,11,NOV,DIWALI
1000023578,AL-0506814/C4593,ACTARIS,1917,,10,OCT,Dussehra
1000035487,50612309,ACTARIS,1854,,10,OCT,Dussehra
1000040419,15494117,RAYCHEM,1012,,10,OCT,Dussehra
1000040515,15477000,RAYCHEM,1246,,10,OCT,Dussehra
1000040516,AL-0615432/C-4792,ACTARIS,3930,,10,OCT,Dussehra
1000040519,,SCHLUMBERGER,2917,IMAGE NOT READABLE,10,OCT,Dussehra
1000040520,31472551,ITRON,1087,,10,OCT,Dussehra
1000040521,3-030939-2,ITRON,1468,,10,OCT,Dussehra
1000040526,15476990,RAYCHEM,561,,10,OCT,Dussehra
1000040529,3-031532-2,ITRON,2147,,10,OCT,Dussehra
1000040530,15477420,RAYCHEM,309,,10,OCT,Dussehra
1000054544,50218298,ACTARIS,2368,,10,OCT,Dussehra
1000056657,AL-0506789/C4593,ACTARIS,1973,,10,OCT,Dussehra
1000056661,AL-0506691/C4593,ACTARIS,1476,,10,OCT,Dussehra
1000056688,AL-0506721/C4593,ACTARIS,2909,,10,OCT,Dussehra
1000056693,1126011,AEM,4009,,10,OCT,Dussehra
1000056724,AL-0506705/C4593,ACTARIS,2383,,10,OCT,Dussehra
1000058164,AL-0615460/C-4792,ACTARIS,6741,,10,OCT,Dussehra
1000058170,AL-0615546/C-4792,ACTARIS,2269,,10,OCT,Dussehra
1000058459,AL-0501617/C4593,ACTARIS,850,,10,OCT,Dussehra
1000058779,AL-0509737/C4593,ACTARIS,1406,,10,OCT,Dussehra
1000058781,AR0553812/C4593,ACTARIS,2105,,10,OCT,Dussehra
1000058791,AL-0500438/C4593,ACTARIS,1796,,10,OCT,Dussehra
1000058942,1262791,AEM,3696,,10,OCT,Dussehra
1000059013,AR0554022/C4593,ACTARIS,1569,,10,OCT,Dussehra
1000059047,AL-0617046/C-4792,ACTARIS,2376,,10,OCT,Dussehra
1000059050,ZEN00013360/0119,ZENNER,362,,10,OCT,Dussehra
1000059098,50612986,ACTARIS,3648,,10,OCT,Dussehra
1000059111,AL-0513206/C4593,ACTARIS,1514,,10,OCT,Dussehra
1000059129,AL-0620013/C-4792,ACTARIS,7083,,10,OCT,Dussehra
1000059972,3010351,ACTARIS,4429,,10,OCT,Dussehra
1000059979,1021011,AEM,2717,DIGIT NOT CLEAR,10,OCT,Dussehra
1000060023,1306561,AEM,3172,,10,OCT,Dussehra
1000060188,1262201,AEM,2447,,10,OCT,Dussehra
1000060191,1057561,AEM,4182,,10,OCT,Dussehra
1000060217,3032221,ACTARIS,2583,,10,OCT,Dussehra
1000060221,3024691,ACTARIS,2844,,10,OCT,Dussehra
1000060223,3038951,ACTARIS,8022,,10,OCT,Dussehra
1000060231,3024891,ACTARIS,2069,,10,OCT,Dussehra
1000061294,AR0552249/C4593,ACTARIS,3071,,10,OCT,Dussehra
1000064556,IL50036873,SENSUS,2690,,10,OCT,Dussehra
1000076019,3030431,ACTARIS,2529,,10,OCT,Dussehra
1000076027,ITR00234343/04/20,ITRON,99,DIGIT NOT CLEAR,10,OCT,Dussehra
1000076028,3034421,ACTARIS,1555,,10,OCT,Dussehra
1000076032,3035911,ACTARIS,4713,IMAGE NOT READABLE,10,OCT,Dussehra
1000077023,3057191,ACTARIS,1180,,10,OCT,Dussehra
1000077024,3030491,ACTARIS,2212,,10,OCT,Dussehra
1000077027,3032241,ACTARIS,2178,,10,OCT,Dussehra
1000077037,3035761,ACTARIS,2181,,10,OCT,Dussehra
1000077038,3039701,ACTARIS,2734,,10,OCT,Dussehra
1000077041,3024781,ACTARIS,2316,,10,OCT,Dussehra
1000077052,3013431,ACTARIS,2613,,10,OCT,Dussehra
1000077053,3008991,ACTARIS,1936,,10,OCT,Dussehra
1000082460,3032451,ACTARIS,2197,,10,OCT,Dussehra
1000082930,3034551,ACTARIS,2433,,10,OCT,Dussehra
1000082931,3049211,ACTARIS,824,,10,OCT,Dussehra
1000096304,3078501,ACTARIS,1820,,10,OCT,Dussehra
1000096699,3141141,ACTARIS,1382,,10,OCT,Dussehra
1000096717,3153811,ACTARIS,957,,10,OCT,Dussehra
1000097692,1316221,AEM,4754,,10,OCT,Dussehra
1000104284,1282471,AEM,3870,,10,OCT,Dussehra
1000107096,3861581,ITRON,1863,,10,OCT,Dussehra
1000114594,1092511,AEM,1243,,10,OCT,Dussehra
1000115097,1140671,AEM,1252,,10,OCT,Dussehra
1000115102,1155161,AEM,1630,,10,OCT,Dussehra
1000115338,1151991,AEM,3936,,10,OCT,Dussehra
1000116253,1350811,AEM,2937,,10,OCT,Dussehra
1000117054,1350521,AEM,6223,,10,OCT,Dussehra
1000117663,1354811,AEM,2039,,10,OCT,Dussehra
1000119676,1348701,AEM,2081,,10,OCT,Dussehra
1000123646,1353621,AEM,4784,,10,OCT,Dussehra
1000124452,1316171,AEM,1396,,10,OCT,Dussehra
1000023578,AL-0506814/C4593,ACTARIS,1917,,8,AUG,
1000035487,50612309,ACTARIS,1854,,8,AUG,
1000040419,15494117,RAYCHEM,1012,,8,AUG,
1000040515,15477000,RAYCHEM,1246,,8,AUG,
1000040516,AL-0615432/C-4792,ACTARIS,3930,,8,AUG,
1000040519,,SCHLUMBERGER,2917,IMAGE NOT READABLE,8,AUG,
1000040520,31472551,ITRON,1087,,8,AUG,
1000040521,3-030939-2,ITRON,1468,,8,AUG,
1000040526,15476990,RAYCHEM,561,,8,AUG,
1000040529,3-031532-2,ITRON,2147,,8,AUG,
1000040530,15477420,RAYCHEM,309,,8,AUG,
1000054544,50218298,ACTARIS,2368,,8,AUG,
1000056657,AL-0506789/C4593,ACTARIS,1973,,8,AUG,
1000056661,AL-0506691/C4593,ACTARIS,1476,,8,AUG,
1000056688,AL-0506721/C4593,ACTARIS,2909,,8,AUG,
1000056693,1126011,AEM,4009,,8,AUG,
1000056724,AL-0506705/C4593,ACTARIS,2383,,8,AUG,
1000058164,AL-0615460/C-4792,ACTARIS,6741,,8,AUG,
1000058170,AL-0615546/C-4792,ACTARIS,2269,,8,AUG,
1000058459,AL-0501617/C4593,ACTARIS,850,,8,AUG,
1000058779,AL-0509737/C4593,ACTARIS,1406,,8,AUG,
1000058781,AR0553812/C4593,ACTARIS,2105,,8,AUG,
1000058791,AL-0500438/C4593,ACTARIS,1796,,8,AUG,
1000058942,1262791,AEM,3696,,8,AUG,
1000059013,AR0554022/C4593,ACTARIS,1569,,8,AUG,
1000059047,AL-0617046/C-4792,ACTARIS,2376,,8,AUG,
1000059050,ZEN00013360/0119,ZENNER,362,,8,AUG,
1000059098,50612986,ACTARIS,3648,,8,AUG,
1000059111,AL-0513206/C4593,ACTARIS,1514,,8,AUG,
1000059129,AL-0620013/C-4792,ACTARIS,7083,,8,AUG,
1000059972,3010351,ACTARIS,4429,,8,AUG,
1000059979,1021011,AEM,2717,DIGIT NOT CLEAR,8,AUG,
1000060023,1306561,AEM,3172,,8,AUG,
1000060188,1262201,AEM,2447,,8,AUG,
1000060191,1057561,AEM,4182,,8,AUG,
1000060217,3032221,ACTARIS,2583,,8,AUG,
1000060221,3024691,ACTARIS,2844,,8,AUG,
1000060223,3038951,ACTARIS,8022,,8,AUG,
1000060231,3024891,ACTARIS,2069,,8,AUG,
1000061294,AR0552249/C4593,ACTARIS,3071,,8,AUG,
1000064556,IL50036873,SENSUS,2690,,8,AUG,
1000076019,3030431,ACTARIS,2529,,8,AUG,
1000076027,ITR00234343/04/20,ITRON,99,DIGIT NOT CLEAR,8,AUG,
1000076028,3034421,ACTARIS,1555,,8,AUG,
1000076032,3035911,ACTARIS,4713,IMAGE NOT READABLE,8,AUG,
1000077023,3057191,ACTARIS,1180,,8,AUG,
1000077024,3030491,ACTARIS,2212,,8,AUG,
1000077027,3032241,ACTARIS,2178,,8,AUG,
1000077037,3035761,ACTARIS,2181,,8,AUG,
1000077038,3039701,ACTARIS,2734,,8,AUG,
1000077041,3024781,ACTARIS,2316,,8,AUG,
1000077052,3013431,ACTARIS,2613,,8,AUG,
1000077053,3008991,ACTARIS,1936,,8,AUG,
1000082460,3032451,ACTARIS,2197,,8,AUG,
1000082930,3034551,ACTARIS,2433,,8,AUG,
1000082931,3049211,ACTARIS,824,,8,AUG,
1000096304,3078501,ACTARIS,1820,,8,AUG,
1000096699,3141141,ACTARIS,1382,,8,AUG,
1000096717,3153811,ACTARIS,957,,8,AUG,
1000097692,1316221,AEM,4754,,8,AUG,
1000104284,1282471,AEM,3870,,8,AUG,
1000107096,3861581,ITRON,1863,,8,AUG,
1000114594,1092511,AEM,1243,,8,AUG,
1000115097,1140671,AEM,1252,,8,AUG,
1000115102,1155161,AEM,1630,,8,AUG,
1000115338,1151991,AEM,3936,,8,AUG,
1000116253,1350811,AEM,2937,,8,AUG,
1000117054,1350521,AEM,6223,,8,AUG,
1000117663,1354811,AEM,2039,,8,AUG,
1000119676,1348701,AEM,2081,,8,AUG,
1000123646,1353621,AEM,4784,,8,AUG,
1000124452,1316171,AEM,1396,,8,AUG,
1000023578,AL-0506814/C4593,ACTARIS,1917,,9,SEP,NO Festival
1000035487,50612309,ACTARIS,1854,,9,SEP,NO Festival
1000040419,15494117,RAYCHEM,1012,,9,SEP,NO Festival
1000040515,15477000,RAYCHEM,1246,,9,SEP,NO Festival
1000040516,AL-0615432/C-4792,ACTARIS,3930,,9,SEP,NO Festival
1000040519,,SCHLUMBERGER,2917,IMAGE NOT READABLE,9,SEP,NO Festival
1000040520,31472551,ITRON,1087,,9,SEP,NO Festival
1000040521,3-030939-2,ITRON,1468,,9,SEP,NO Festival
1000040526,15476990,RAYCHEM,561,,9,SEP,NO Festival
1000040529,3-031532-2,ITRON,2147,,9,SEP,NO Festival
1000040530,15477420,RAYCHEM,309,,9,SEP,NO Festival
1000054544,50218298,ACTARIS,2368,,9,SEP,NO Festival
1000056657,AL-0506789/C4593,ACTARIS,1973,,9,SEP,NO Festival
1000056661,AL-0506691/C4593,ACTARIS,1476,,9,SEP,NO Festival
1000056688,AL-0506721/C4593,ACTARIS,2909,,9,SEP,NO Festival
1000056693,1126011,AEM,4009,,9,SEP,NO Festival
1000056724,AL-0506705/C4593,ACTARIS,2383,,9,SEP,NO Festival
1000058164,AL-0615460/C-4792,ACTARIS,6741,,9,SEP,NO Festival
1000058170,AL-0615546/C-4792,ACTARIS,2269,,9,SEP,NO Festival
1000058459,AL-0501617/C4593,ACTARIS,850,,9,SEP,NO Festival
1000058779,AL-0509737/C4593,ACTARIS,1406,,9,SEP,NO Festival
1000058781,AR0553812/C4593,ACTARIS,2105,,9,SEP,NO Festival
1000058791,AL-0500438/C4593,ACTARIS,1796,,9,SEP,NO Festival
1000058942,1262791,AEM,3696,,9,SEP,NO Festival
1000059013,AR0554022/C4593,ACTARIS,1569,,9,SEP,NO Festival
1000059047,AL-0617046/C-4792,ACTARIS,2376,,9,SEP,NO Festival
1000059050,ZEN00013360/0119,ZENNER,362,,9,SEP,NO Festival
1000059098,50612986,ACTARIS,3648,,9,SEP,NO Festival
1000059111,AL-0513206/C4593,ACTARIS,1514,,9,SEP,NO Festival
1000059129,AL-0620013/C-4792,ACTARIS,7083,,9,SEP,NO Festival
1000059972,3010351,ACTARIS,4429,,9,SEP,NO Festival
1000059979,1021011,AEM,2717,DIGIT NOT CLEAR,9,SEP,NO Festival
1000060023,1306561,AEM,3172,,9,SEP,NO Festival
1000060188,1262201,AEM,2447,,9,SEP,NO Festival
1000060191,1057561,AEM,4182,,9,SEP,NO Festival
1000060217,3032221,ACTARIS,2583,,9,SEP,NO Festival
1000060221,3024691,ACTARIS,2844,,9,SEP,NO Festival
1000060223,3038951,ACTARIS,8022,,9,SEP,NO Festival
1000060231,3024891,ACTARIS,2069,,9,SEP,NO Festival
1000061294,AR0552249/C4593,ACTARIS,3071,,9,SEP,NO Festival
1000064556,IL50036873,SENSUS,2690,,9,SEP,NO Festival
1000076019,3030431,ACTARIS,2529,,9,SEP,NO Festival
1000076027,ITR00234343/04/20,ITRON,99,DIGIT NOT CLEAR,9,SEP,NO Festival
1000076028,3034421,ACTARIS,1555,,9,SEP,NO Festival
1000076032,3035911,ACTARIS,4713,IMAGE NOT READABLE,9,SEP,NO Festival
1000077023,3057191,ACTARIS,1180,,9,SEP,NO Festival
1000077024,3030491,ACTARIS,2212,,9,SEP,NO Festival
1000077027,3032241,ACTARIS,2178,,9,SEP,NO Festival
1000077037,3035761,ACTARIS,2181,,9,SEP,NO Festival
1000077038,3039701,ACTARIS,2734,,9,SEP,NO Festival
1000077041,3024781,ACTARIS,2316,,9,SEP,NO Festival
1000077052,3013431,ACTARIS,2613,,9,SEP,NO Festival
1000077053,3008991,ACTARIS,1936,,9,SEP,NO Festival
1000082460,3032451,ACTARIS,2197,,9,SEP,NO Festival
1000082930,3034551,ACTARIS,2433,,9,SEP,NO Festival
1000082931,3049211,ACTARIS,824,,9,SEP,NO Festival
1000096304,3078501,ACTARIS,1820,,9,SEP,NO Festival
1000096699,3141141,ACTARIS,1382,,9,SEP,NO Festival
1000096717,3153811,ACTARIS,957,,9,SEP,NO Festival
1000097692,1316221,AEM,4754,,9,SEP,NO Festival
1000104284,1282471,AEM,3870,,9,SEP,NO Festival
1000107096,3861581,ITRON,1863,,9,SEP,NO Festival
1000114594,1092511,AEM,1243,,9,SEP,NO Festival
1000115097,1140671,AEM,1252,,9,SEP,NO Festival
1000115102,1155161,AEM,1630,,9,SEP,NO Festival
1000115338,1151991,AEM,3936,,9,SEP,NO Festival
1000116253,1350811,AEM,2937,,9,SEP,NO Festival
1000117054,1350521,AEM,6223,,9,SEP,NO Festival
1000117663,1354811,AEM,2039,,9,SEP,NO Festival
1000119676,1348701,AEM,2081,,9,SEP,NO Festival
1000123646,1353621,AEM,4784,,9,SEP,NO Festival
1000124452,1316171,AEM,1396,,9,SEP,NO Festival
1000023578,AL-0506814/C4593,ACTARIS,1917,,11,NOV,DIWALI
1000035487,50612309,ACTARIS,1854,,11,NOV,DIWALI
1000040419,15494117,RAYCHEM,1012,,11,NOV,DIWALI
1000040515,15477000,RAYCHEM,1246,,11,NOV,DIWALI
1000040516,AL-0615432/C-4792,ACTARIS,3930,,11,NOV,DIWALI
1000040519,,SCHLUMBERGER,2917,IMAGE NOT READABLE,11,NOV,DIWALI
1000040520,31472551,ITRON,1087,,11,NOV,DIWALI
1000040521,3-030939-2,ITRON,1468,,11,NOV,DIWALI
1000040526,15476990,RAYCHEM,561,,11,NOV,DIWALI
1000040529,3-031532-2,ITRON,2147,,11,NOV,DIWALI
1000040530,15477420,RAYCHEM,309,,11,NOV,DIWALI
1000054544,50218298,ACTARIS,2368,,11,NOV,DIWALI
1000056657,AL-0506789/C4593,ACTARIS,1973,,11,NOV,DIWALI
1000056661,AL-0506691/C4593,ACTARIS,1476,,11,NOV,DIWALI
1000056688,AL-0506721/C4593,ACTARIS,2909,,11,NOV,DIWALI
1000056693,1126011,AEM,4009,,11,NOV,DIWALI
1000056724,AL-0506705/C4593,ACTARIS,2383,,11,NOV,DIWALI
1000058164,AL-0615460/C-4792,ACTARIS,3000,,11,NOV,DIWALI
1000058170,AL-0615546/C-4792,ACTARIS,2269,,11,NOV,DIWALI
1000058459,AL-0501617/C4593,ACTARIS,850,,11,NOV,DIWALI
1000058779,AL-0509737/C4593,ACTARIS,1406,,11,NOV,DIWALI
1000058781,AR0553812/C4593,ACTARIS,2105,,11,NOV,DIWALI
1000058791,AL-0500438/C4593,ACTARIS,1796,,11,NOV,DIWALI
1000058942,1262791,AEM,3696,,11,NOV,DIWALI
1000059013,AR0554022/C4593,ACTARIS,1569,,11,NOV,DIWALI
1000059047,AL-0617046/C-4792,ACTARIS,2376,,11,NOV,DIWALI
1000059050,ZEN00013360/0119,ZENNER,362,,11,NOV,DIWALI
1000059098,50612986,ACTARIS,3648,,11,NOV,DIWALI
1000059111,AL-0513206/C4593,ACTARIS,1514,,11,NOV,DIWALI
1000059129,AL-0620013/C-4792,ACTARIS,3000,,11,NOV,DIWALI
1000059972,3010351,ACTARIS,4429,,11,NOV,DIWALI
1000059979,1021011,AEM,2717,DIGIT NOT CLEAR,11,NOV,DIWALI
1000060023,1306561,AEM,3172,,11,NOV,DIWALI
1000060188,1262201,AEM,2447,,11,NOV,DIWALI
1000060191,1057561,AEM,4182,,11,NOV,DIWALI
1000060217,3032221,ACTARIS,2583,,11,NOV,DIWALI
1000060221,3024691,ACTARIS,2844,,11,NOV,DIWALI
1000060223,3038951,ACTARIS,10,,11,NOV,DIWALI
1000060231,3024891,ACTARIS,2069,,11,NOV,DIWALI
1000061294,AR0552249/C4593,ACTARIS,3071,,11,NOV,DIWALI
1000064556,IL50036873,SENSUS,2690,,11,NOV,DIWALI
1000076019,3030431,ACTARIS,2529,,11,NOV,DIWALI
1000076027,ITR00234343/04/20,ITRON,99,DIGIT NOT CLEAR,11,NOV,DIWALI
1000076028,3034421,ACTARIS,1555,,11,NOV,DIWALI
1000076032,3035911,ACTARIS,4713,IMAGE NOT READABLE,11,NOV,DIWALI
1000077023,3057191,ACTARIS,1180,,11,NOV,DIWALI
1000077024,3030491,ACTARIS,2212,,11,NOV,DIWALI
1000077027,3032241,ACTARIS,2178,,11,NOV,DIWALI
1000077037,3035761,ACTARIS,2181,,11,NOV,DIWALI
1000077038,3039701,ACTARIS,2734,,11,NOV,DIWALI
1000077041,3024781,ACTARIS,2316,,11,NOV,DIWALI
1000077052,3013431,ACTARIS,2613,,11,NOV,DIWALI
1000077053,3008991,ACTARIS,1936,,11,NOV,DIWALI
1000082460,3032451,ACTARIS,2197,,11,NOV,DIWALI
1000082930,3034551,ACTARIS,2433,,11,NOV,DIWALI
1000082931,3049211,ACTARIS,824,,11,NOV,DIWALI
1000096304,3078501,ACTARIS,1820,,11,NOV,DIWALI
1000096699,3141141,ACTARIS,1382,,11,NOV,DIWALI
1000096717,3153811,ACTARIS,957,,11,NOV,DIWALI
1000097692,1316221,AEM,4754,,11,NOV,DIWALI
1000104284,1282471,AEM,3870,,11,NOV,DIWALI
1000107096,3861581,ITRON,1863,,11,NOV,DIWALI
1000114594,1092511,AEM,1243,,11,NOV,DIWALI
1000115097,1140671,AEM,1252,,11,NOV,DIWALI
1000115102,1155161,AEM,1630,,11,NOV,DIWALI
1000115338,1151991,AEM,3936,,11,NOV,DIWALI
1000116253,1350811,AEM,2937,,11,NOV,DIWALI
1000117054,1350521,AEM,3000,,11,NOV,DIWALI
1000117663,1354811,AEM,2039,,11,NOV,DIWALI
1000119676,1348701,AEM,2081,,11,NOV,DIWALI
1000123646,1353621,AEM,4784,,11,NOV,DIWALI
1000124452,1316171,AEM,1396,,11,NOV,DIWALI
1000003813,1394341,AEM,1860,,10,OCT,Dussehra
1000004420,303221,SCHLUMBERGER,2672,,10,OCT,Dussehra
1000004425,15791004,RAYCHEM,789,,10,OCT,Dussehra
1000004437,RC12292724,RAYCHEM,1472,,10,OCT,Dussehra
1000004440,11443371,AEM,1168,,10,OCT,Dussehra
1000004462,,SCHLUMBERGER,2345,IMAGE NOT READABLE,10,OCT,Dussehra
1000004477,2023041,ELSTER,1297,,10,OCT,Dussehra
1000004491,306228,SCHLUMBERGER,1114,,10,OCT,Dussehra
1000004495,11443341,AEM,1520,,10,OCT,Dussehra
1000004504,,AEM,1218,IMAGE NOT READABLE,10,OCT,Dussehra
1000004515,3431531,ACTARIS,2514,,10,OCT,Dussehra
1000004536,31421251,ITRON,1170,,10,OCT,Dussehra
1000005132,11395171,AEM,962,,10,OCT,Dussehra
1000005133,203190,SCHLUMBERGER,1635,,10,OCT,Dussehra
1000005134,201189,SCHLUMBERGER,1977,,10,OCT,Dussehra
1000005136,RC12293326,RAYCHEM,1335,,10,OCT,Dussehra
1000005137,201155,SCHLUMBERGER,770,,10,OCT,Dussehra
1000005139,202245,SCHLUMBERGER,3079,,10,OCT,Dussehra
1000005140,11436091,AEM,1398,,10,OCT,Dussehra
1000005145,3922361,ITRON,1816,,10,OCT,Dussehra
1000005146,203730,SCHLUMBERGER,939,,10,OCT,Dussehra
1000005148,IL40505268,INVENSYS,4478,,10,OCT,Dussehra
1000005151,201868,SCHLUMBERGER,2558,,10,OCT,Dussehra
1000005153,11395111,AEM,857,,10,OCT,Dussehra
1000005158,20228,SCHLUMBERGER,2246,,10,OCT,Dussehra
1000005160,IL40505561,INVENSYS,1575,,10,OCT,Dussehra
1000005161,201199,SCHLUMBERGER,4936,,10,OCT,Dussehra
1000005162,203153,SCHLUMBERGER,2299,,10,OCT,Dussehra
1000005165,203155,SCHLUMBERGER,2586,,10,OCT,Dussehra
1000005166,3390351,ACTARIS,1920,DIGIT NOT CLEAR,10,OCT,Dussehra
1000005168,202217,SCHLUMBERGER,1016,,10,OCT,Dussehra
1000005170,203161,SCHLUMBERGER,2301,,10,OCT,Dussehra
1000005171,202208,SCHLUMBERGER,2631,,10,OCT,Dussehra
1000005173,11442731,AEM,1048,,10,OCT,Dussehra
1000005176,201186,SCHLUMBERGER,3040,,10,OCT,Dussehra
1000005178,203175,SCHLUMBERGER,2774,,10,OCT,Dussehra
1000005180,RC12293328,RAYCHEM,2040,,10,OCT,Dussehra
1000005185,IL40503493,INVENSYS,2404,,10,OCT,Dussehra
1000005186,IL40505174,INVENSYS,4279,,10,OCT,Dussehra
1000005191,IL40503495,INVENSYS,4640,,10,OCT,Dussehra
1000005202,IL40503916,INVENSYS,2335,,10,OCT,Dussehra
1000005205,IL40503884,INVENSYS,3450,,10,OCT,Dussehra
1000005216,IL40502665,INVENSYS,2134,,10,OCT,Dussehra
1000005290,202470,SCHLUMBERGER,2927,,10,OCT,Dussehra
1000005320,IL40503841,INVENSYS,3906,,10,OCT,Dussehra
1000005368,IL40502634,INVENSYS,1307,,10,OCT,Dussehra
1000005618,IL40504771,INVENSYS,3045,,10,OCT,Dussehra
1000005627,3640771,ACTARIS,2947,DIGIT NOT CLEAR,10,OCT,Dussehra
1000005629,IL40502418,INVENSYS,3431,DIGIT NOT CLEAR,10,OCT,Dussehra
1000005657,IL40504861,INVENSYS,3280,,10,OCT,Dussehra
1000005670,3368431,ACTARIS,1616,,10,OCT,Dussehra
1000005684,1399791,AEM,2872,,10,OCT,Dussehra
1000005716,204046,SCHLUMBERGER,2232,,10,OCT,Dussehra
1000005727,1753591,AEM,22,,10,OCT,Dussehra
1000007059,31427121,ITRON,493,,10,OCT,Dussehra
1000007086,3396151,ACTARIS,3655,,10,OCT,Dussehra
1000007098,206347,SCHLUMBERGER,2067,,10,OCT,Dussehra
1000007107,206356,SCHLUMBERGER,3285,,10,OCT,Dussehra
1000007130,306131,SCHLUMBERGER,1952,,10,OCT,Dussehra
1000007144,206338,SCHLUMBERGER,3975,,10,OCT,Dussehra
1000007160,206371,SCHLUMBERGER,826,,10,OCT,Dussehra
1000007161,IL40300590,INVENSYS,4143,,10,OCT,Dussehra
1000007167,302446,SCHLUMBERGER,1806,,10,OCT,Dussehra
1000007169,302455,SCHLUMBERGER,3854,,10,OCT,Dussehra
1000007172,3193961,ITRON,948,,10,OCT,Dussehra
1000007177,IL40301572,INVENSYS,3885,,10,OCT,Dussehra
1000007178,IL40301571,INVENSYS,4026,,10,OCT,Dussehra
